Ward,Accessibility Index,Time limit,Situation
33,1294.356675,60,Before
34,2753.579654,60,Before
35,5498.966862,60,Before
36,3248.455528,60,Before
37,5708.371754,60,Before
38,3521.58404,60,Before
39,1088.869326,60,Before
40,3770.271544,60,Before
41,3443.997582,60,Before
42,6765.352612,60,Before
43,9600.584989,60,Before
44,9231.857054,60,Before
45,14837.56383,60,Before
46,10921.6463,60,Before
47,8325.177149,60,Before
48,5737.085887,60,Before
49,12942.18761,60,Before
50,1909.046468,60,Before
51,3128.43474,60,Before
52,4422.193943,60,Before
53,3523.835601,60,Before
54,452.69854,60,Before
55,7947.737547,60,Before
56,10918.74799,60,Before
57,6922.113906,60,Before
58,1491.672762,60,Before
59,5665.007263,60,Before
60,5352.393356,60,Before
61,6844.26886,60,Before
62,8222.765852,60,Before
63,9819.775309,60,Before
64,9469.218117,60,Before
65,6824.839615,60,Before
66,9516.719125,60,Before
67,11477.64966,60,Before
68,13537.18138,60,Before
69,12668.57454,60,Before
70,14825.05817,60,Before
71,10416.5596,60,Before
72,13743.07433,60,Before
73,13034.92628,60,Before
74,14262.47728,60,Before
75,12749.13145,60,Before
76,10752.65111,60,Before
77,13647.69294,60,Before
78,13339.95718,60,Before
79,10903.7103,60,Before
80,10964.17559,60,Before
81,9567.949788,60,Before
82,7013.645959,60,Before
83,5990.475786,60,Before
84,7188.537523,60,Before
85,100.0265,60,Before
86,7109.82376,60,Before
87,6989.949601,60,Before
88,2678.925289,60,Before
89,748.068786,60,Before
90,3582.63303,60,Before
91,1963.856625,60,Before
92,587.5899687,60,Before
1,388.6309612,30,After
2,537.1379347,30,After
3,699.3949785,30,After
4,522.8349661,30,After
5,716.0248039,30,After
6,1868.071658,30,After
7,1528.152172,30,After
8,0,30,After
9,106.110641,30,After
10,354.7281506,30,After
11,291.3535654,30,After
12,939.7772748,30,After
13,502.5384056,30,After
14,1057.383098,30,After
15,0,30,After
16,559.8195792,30,After
17,47.06262499,30,After
18,470.3269,30,After
19,187.9934553,30,After
20,490.4500956,30,After
21,458.2321769,30,After
22,386.4749509,30,After
23,781.3469444,30,After
24,0,30,After
25,451.9537226,30,After
26,218.3299417,30,After
27,649.6082359,30,After
28,737.7200584,30,After
29,1755.019852,30,After
30,271.0140079,30,After
31,2863.63307,30,After
32,2675.294994,30,After
33,0,30,After
34,1024.997271,30,After
35,487.3908323,30,After
36,534.7305434,30,After
37,1030.24296,30,After
38,304.7627608,30,After
39,97.88938659,30,After
40,78.00283691,30,After
41,77.49154441,30,After
42,287.7310343,30,After
43,1517.219818,30,After
44,3591.899099,30,After
45,9958.732289,30,After
46,4778.358151,30,After
47,2344.080544,30,After
48,536.9192832,30,After
49,7425.131046,30,After
50,214.4294241,30,After
51,940.9368541,30,After
52,384.6040284,30,After
53,833.2231039,30,After
54,152.6983154,30,After
55,653.1785513,30,After
56,3914.147485,30,After
57,716.2528638,30,After
58,303.9515375,30,After
59,1198.183381,30,After
60,587.715752,30,After
61,926.6161427,30,After
62,1987.156057,30,After
63,1367.664453,30,After
64,1797.790826,30,After
65,537.1932601,30,After
66,1354.734713,30,After
67,5116.815047,30,After
68,8866.401766,30,After
69,6610.719478,30,After
70,9475.866914,30,After
71,6716.860322,30,After
72,8116.376844,30,After
73,7304.01044,30,After
74,8653.252919,30,After
75,5793.269883,30,After
76,2424.545265,30,After
77,8154.963659,30,After
78,7540.307916,30,After
79,4958.058181,30,After
80,4757.200375,30,After
81,1725.216454,30,After
82,453.3655181,30,After
83,790.7208258,30,After
84,171.1254815,30,After
85,0,30,After
86,374.0125581,30,After
87,530.6583578,30,After
88,491.5792934,30,After
89,450.6057909,30,After
90,766.5250402,30,After
91,289.0518417,30,After
92,248.7500652,30,After
1,454.6824714,45,After
2,1666.402222,45,After
3,2503.603081,45,After
4,1541.013044,45,After
5,2061.159194,45,After
6,2321.596419,45,After
7,3221.763097,45,After
8,0,45,After
9,542.6984086,45,After
10,1139.199393,45,After
11,1265.55474,45,After
12,1865.462982,45,After
13,1750.105809,45,After
14,2223.591327,45,After
15,51.80674541,45,After
16,958.4293334,45,After
17,246.1437118,45,After
18,900.0325,45,After
19,659.0171847,45,After
20,892.1331164,45,After
21,1000.1568,45,After
22,1294.834676,45,After
23,1349.690589,45,After
24,1094.062971,45,After
25,834.0327285,45,After
26,839.8598339,45,After
27,2678.752196,45,After
28,1757.209314,45,After
29,2768.656343,45,After
30,1470.052728,45,After
31,3503.965137,45,After
32,3501.202004,45,After
33,595.4492621,45,After
34,2069.644258,45,After
35,1287.574848,45,After
36,1331.740793,45,After
37,3132.555888,45,After
38,1389.941243,45,After
39,413.1776661,45,After
40,1055.433603,45,After
41,638.2237539,45,After
42,2931.235139,45,After
43,5644.492557,45,After
44,7416.342577,45,After
45,12828.76751,45,After
46,8399.369592,45,After
47,6382.713695,45,After
48,2703.742886,45,After
49,10784.48804,45,After
50,1189.507093,45,After
51,2760.269257,45,After
52,2327.225649,45,After
53,2498.20853,45,After
54,369.2659,45,After
55,4876.609688,45,After
56,9045.431916,45,After
57,3515.740185,45,After
58,980.9151605,45,After
59,2671.495598,45,After
60,2160.126068,45,After
61,3887.715449,45,After
62,4839.748765,45,After
63,8317.606702,45,After
64,7740.639315,45,After
65,4942.964424,45,After
66,7316.784215,45,After
67,9759.624985,45,After
68,12197.64132,45,After
69,11932.92557,45,After
70,14070.15587,45,After
71,9634.713453,45,After
72,11300.48223,45,After
73,10356.69217,45,After
74,13301.23917,45,After
75,11782.53316,45,After
76,9721.120635,45,After
77,12900.70531,45,After
78,12192.75474,45,After
79,7997.542475,45,After
80,9339.354686,45,After
81,7163.611169,45,After
82,4877.312131,45,After
83,2792.51463,45,After
84,2519.27168,45,After
85,0,45,After
86,1637.09526,45,After
87,3293.466883,45,After
88,812.164155,45,After
89,553.4164454,45,After
90,1092.290369,45,After
91,766.7684283,45,After
92,248.7500652,45,After
1,454.6824714,60,After
2,1962.551302,60,After
3,2858.548354,60,After
4,2459.770602,60,After
